epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5543,1.79384,3.97821,1.25145,0.5125,0.35707,0.37463,0.18057,1.88781,2.59551,1.55318,0.000552509,0.000552509,0.000552509
2,59.4698,1.97355,3.02359,1.40296,0.53211,0.33861,0.34739,0.16871,1.94701,2.13499,1.72803,0.00109721,0.00109721,0.00109721
3,86.0266,2.01153,2.36196,1.47376,0.43864,0.38299,0.32456,0.15309,2.10594,3.66598,1.92039,0.0016309,0.0016309,0.0016309
4,112.387,2.03373,2.16417,1.51363,0.49293,0.354,0.36792,0.17146,2.27634,2.39196,1.95241,0.00161749,0.00161749,0.00161749
5,138.648,1.93222,1.94232,1.42811,0.56387,0.38721,0.40626,0.20399,1.92349,2.49437,1.68505,0.00160099,0.00160099,0.00160099
6,164.906,1.90038,1.80058,1.43615,0.73853,0.40651,0.47753,0.22829,2.04726,2.25482,1.85098,0.00158448,0.00158448,0.00158448
7,191.302,1.89015,1.78082,1.39236,0.52572,0.42194,0.41576,0.20673,1.80795,2.48438,1.72094,0.00156798,0.00156798,0.00156798
8,217.486,1.83692,1.69207,1.38674,0.60031,0.43001,0.46102,0.24281,1.81643,2.23269,1.66784,0.00155148,0.00155148,0.00155148
9,243.852,1.79604,1.61561,1.35959,0.62087,0.48334,0.50753,0.27707,1.7829,2.15864,1.69284,0.00153497,0.00153497,0.00153497
10,270.411,1.76865,1.60249,1.35834,0.65125,0.46988,0.51867,0.27146,1.74552,2.17143,1.68251,0.00151847,0.00151847,0.00151847
11,296.63,1.74694,1.56949,1.33939,0.64449,0.5324,0.55789,0.29734,1.68778,2.12403,1.58243,0.00150197,0.00150197,0.00150197
12,318.411,1.74515,1.46124,1.3102,0.65902,0.52519,0.53742,0.30077,1.80542,2.07887,1.6711,0.00148546,0.00148546,0.00148546
13,344.699,1.71112,1.45872,1.30138,0.65889,0.46988,0.51342,0.28416,1.63164,2.04592,1.55474,0.00146896,0.00146896,0.00146896
14,369.084,1.6805,1.39866,1.29822,0.72271,0.55142,0.57971,0.30894,1.59347,1.93226,1.55174,0.00145246,0.00145246,0.00145246
15,395.691,1.71592,1.4053,1.29541,0.63328,0.56393,0.56149,0.31603,1.62741,2.176,1.55289,0.00143595,0.00143595,0.00143595
16,422.21,1.63773,1.35949,1.27045,0.67676,0.53602,0.56764,0.31393,1.74607,2.07713,1.62997,0.00141945,0.00141945,0.00141945
17,448.802,1.63485,1.33094,1.26999,0.70471,0.53173,0.56188,0.3195,1.68835,2.08787,1.5827,0.00140295,0.00140295,0.00140295
18,475.833,1.6669,1.32019,1.27081,0.70519,0.53429,0.5675,0.32951,1.65572,2.12689,1.57569,0.00138644,0.00138644,0.00138644
19,502.572,1.61461,1.27152,1.23861,0.72009,0.53893,0.58321,0.34359,1.58733,2.08112,1.51063,0.00136994,0.00136994,0.00136994
20,528.595,1.60234,1.2993,1.24266,0.76881,0.5721,0.61088,0.36141,1.55853,2.05287,1.49757,0.00135344,0.00135344,0.00135344
21,553.394,1.5864,1.26201,1.25216,0.74361,0.54481,0.59778,0.34372,1.5524,2.07709,1.51068,0.00133693,0.00133693,0.00133693
22,579.811,1.58142,1.25655,1.23045,0.75003,0.57427,0.60402,0.36379,1.46544,2.05018,1.45818,0.00132043,0.00132043,0.00132043
23,606.288,1.57995,1.22007,1.23089,0.78575,0.55451,0.60567,0.35646,1.73814,2.03018,1.6431,0.00130393,0.00130393,0.00130393
24,633.26,1.5556,1.19947,1.22053,0.77492,0.56521,0.62001,0.36455,1.64211,2.0979,1.59188,0.00128742,0.00128742,0.00128742
25,659.919,1.53727,1.19553,1.20505,0.83141,0.52888,0.61323,0.3652,1.68102,1.90241,1.59326,0.00127092,0.00127092,0.00127092
26,686.373,1.55805,1.17539,1.20122,0.75258,0.55947,0.61425,0.37128,1.54039,1.84983,1.5143,0.00125442,0.00125442,0.00125442
27,712.83,1.52863,1.19696,1.1927,0.76453,0.62152,0.65262,0.37143,1.59079,2.02937,1.51402,0.00123791,0.00123791,0.00123791
28,739.244,1.52346,1.15307,1.19475,0.82464,0.56682,0.64502,0.38398,1.5501,2.02946,1.49043,0.00122141,0.00122141,0.00122141
29,766.138,1.49563,1.0967,1.17966,0.76541,0.58108,0.62369,0.37325,1.54356,2.01517,1.49615,0.00120491,0.00120491,0.00120491
30,793.408,1.49604,1.12562,1.17509,0.79075,0.59602,0.63012,0.38212,1.5475,2.05145,1.47314,0.0011884,0.0011884,0.0011884
31,820.822,1.5102,1.11184,1.18054,0.82078,0.62119,0.67892,0.39286,1.50743,1.94869,1.46628,0.0011719,0.0011719,0.0011719
32,848.324,1.46757,1.09223,1.16417,0.79517,0.58864,0.63535,0.38138,1.59333,2.04947,1.50929,0.0011554,0.0011554,0.0011554
33,875.288,1.45705,1.08353,1.14868,0.73152,0.58234,0.62559,0.37582,1.54419,2.05913,1.46336,0.00113889,0.00113889,0.00113889
34,902.597,1.4552,1.07547,1.15193,0.77815,0.62401,0.6459,0.37885,1.4789,1.92213,1.4552,0.00112239,0.00112239,0.00112239
35,929.417,1.42979,1.03289,1.15442,0.85017,0.60331,0.66478,0.39583,1.4665,1.98699,1.42167,0.00110589,0.00110589,0.00110589
36,955.943,1.42173,1.03995,1.13823,0.82368,0.60795,0.67274,0.40512,1.42519,1.93003,1.42678,0.00108938,0.00108938,0.00108938
37,982.619,1.43086,1.04563,1.15815,0.81338,0.57106,0.6456,0.38767,1.51025,2.11945,1.49145,0.00107288,0.00107288,0.00107288
38,1009.12,1.43005,1.02314,1.12993,0.81989,0.60737,0.66702,0.40709,1.42949,1.98693,1.41197,0.00105638,0.00105638,0.00105638
39,1036.17,1.42915,1.02843,1.133,0.80475,0.58991,0.655,0.42575,1.49937,1.89121,1.44561,0.00103987,0.00103987,0.00103987
40,1063.46,1.42392,1.00935,1.13212,0.80981,0.59198,0.66022,0.40921,1.50185,1.98632,1.48643,0.00102337,0.00102337,0.00102337
