epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3223,1.78082,3.43914,1.23467,0.74212,0.38706,0.47717,0.26233,1.59174,2.47092,1.24918,0.000550749,0.000550749,0.000550749
2,37.9964,1.85258,2.5743,1.30754,0.49663,0.43724,0.42513,0.21851,1.61677,2.40138,1.3099,0.00109546,0.00109546,0.00109546
3,54.912,1.95387,2.27953,1.36819,0.43732,0.31477,0.30895,0.14241,1.92967,2.34312,1.51484,0.00162917,0.00162917,0.00162917
4,72.4888,1.89917,1.96738,1.35317,0.48775,0.51557,0.45104,0.24209,1.6704,1.65987,1.36335,0.00161749,0.00161749,0.00161749
5,89.3977,1.88051,1.81539,1.3692,0.51144,0.51042,0.50922,0.25115,1.68743,1.6517,1.43485,0.00160099,0.00160099,0.00160099
6,106.717,1.83672,1.70154,1.34544,0.69177,0.52752,0.59331,0.30882,1.59771,1.53739,1.32176,0.00158448,0.00158448,0.00158448
7,123.922,1.80839,1.64528,1.31154,0.64974,0.43415,0.5022,0.25499,1.63021,1.84294,1.28605,0.00156798,0.00156798,0.00156798
8,140.92,1.74582,1.54165,1.28932,0.62846,0.5294,0.56859,0.32044,1.59232,1.51713,1.32947,0.00155148,0.00155148,0.00155148
9,158.829,1.76706,1.48858,1.28976,0.69597,0.59794,0.63522,0.34151,1.47175,1.37148,1.29567,0.00153497,0.00153497,0.00153497
10,176.166,1.72026,1.46572,1.27024,0.7046,0.56944,0.64166,0.35158,1.60366,1.34535,1.25991,0.00151847,0.00151847,0.00151847
11,193.628,1.69436,1.44497,1.26509,0.73449,0.54376,0.64089,0.35732,1.47887,1.32524,1.25893,0.00150197,0.00150197,0.00150197
12,211.064,1.66679,1.38918,1.24101,0.69813,0.64061,0.68353,0.38744,1.47413,1.21155,1.24001,0.00148546,0.00148546,0.00148546
13,228.243,1.65274,1.36821,1.25292,0.7319,0.57978,0.63871,0.3502,1.47466,1.32439,1.24722,0.00146896,0.00146896,0.00146896
14,245.427,1.66368,1.34749,1.23756,0.7594,0.59816,0.67013,0.39332,1.40268,1.20505,1.24561,0.00145246,0.00145246,0.00145246
15,262.916,1.63865,1.35877,1.24638,0.75225,0.53937,0.63384,0.36698,1.44603,1.20222,1.21856,0.00143595,0.00143595,0.00143595
16,279.996,1.60749,1.31612,1.21521,0.76607,0.6317,0.72191,0.40106,1.36884,1.20381,1.17578,0.00141945,0.00141945,0.00141945
17,296.842,1.61357,1.26134,1.18475,0.77,0.65581,0.71434,0.38095,1.48661,1.16754,1.21753,0.00140295,0.00140295,0.00140295
18,313.18,1.56052,1.22795,1.20437,0.7268,0.65506,0.7195,0.40872,1.41469,1.12458,1.21049,0.00138644,0.00138644,0.00138644
19,330.53,1.56574,1.20222,1.18569,0.72964,0.70423,0.74414,0.41677,1.36983,1.06211,1.20819,0.00136994,0.00136994,0.00136994
20,348.784,1.56364,1.2012,1.1772,0.78366,0.6218,0.7084,0.41555,1.41939,1.03474,1.2072,0.00135344,0.00135344,0.00135344
21,366.566,1.50622,1.1533,1.16884,0.80721,0.65818,0.73073,0.42089,1.37061,1.07053,1.17896,0.00133693,0.00133693,0.00133693
22,383.982,1.54192,1.17891,1.1665,0.82337,0.67606,0.74036,0.4375,1.32165,1.02683,1.1706,0.00132043,0.00132043,0.00132043
23,401.477,1.46934,1.11007,1.14538,0.76795,0.66096,0.71923,0.40835,1.38275,1.17844,1.19023,0.00130393,0.00130393,0.00130393
